attribute,type,unit,default,suffix,description
region,str,n/a,n/a,,Country code
name,str,n/a,,-ch4-boiler-large,Name
type,str,n/a,conversion,,Type
carrier,str,n/a,ch4,,Energy carrier
tech,str,n/a,boiler-large,,Technology
from_bus,str,n/a,,-ch4,The input bus this component is connected to
to_bus,str,n/a,,-heat_central,The output bus this component is connected to
capacity,float,MW,n/a,,Installed capacity
marginal_cost,float,Eur/MWh,n/a,,Marginal cost
output_parameters,dict,n/a,{},,Optional parameters passed to oemof-solph's output flow
