attribute,type,unit,default,suffix,description
region,str,n/a,n/a,,Country code
name,str,n/a,,,Name
type,str,n/a,link,,Type
carrier,str,n/a,electricity,,Energy carrier
tech,str,n/a,transmission,,Technology
from_bus,str,n/a,,-electricity,Bus where link starts
to_bus,str,n/a,,-electricity,Bus where link ends
from_to_capacity,float,MW,n/a,,Net transfer capacity in forward direction
to_from_capacity,float,MW,n/a,,Net transfer capacity in backward direction
capacity_cost,float,Eur/MW,n/a,,Annualized costs of capacity expansion
loss,float,unitless,n/a,,Transmission losses
input_parameters,dict,n/a,"{""variable_costs"": 0.00001}",,Optional parameters passed to oemof-solph's input flow
