attribute,type,unit,default,suffix,description
region,str,n/a,n/a,,Country code
name,str,n/a,,-heat_central-storage-large,Name
type,str,n/a,storage,,Type
carrier,str,n/a,heat_central,,Energy carrier
tech,str,n/a,storage-large,,Technology
bus,str,n/a,,-heat_central,The bus this component is connected to
capacity,float,MW,n/a,,Installed capacity
storage_capacity,float,MWh,n/a,,Installed storage capacity
efficiency,float,unitless,n/a,,Efficiency of charging/discharging
marginal_cost,float,Eur/MWh,n/a,,Marginal cost of charging/discharging
input_parameters,dict,n/a,"{""variable_costs"": 0.00001}",,Optional parameters passed to oemof-solph's input flow
output_parameters,dict,n/a,{},,Optional parameters passed to oemof-solph's output flow
