attribute,type,unit,default,suffix,description
region,str,n/a,n/a,,Country code
name,str,n/a,,-el-ch4,Name
type,str,n/a,dispatchable,,Type
carrier,str,n/a,ch4,,Energy carrier
tech,str,n/a,ch4-gt,,Technology
bus,str,n/a,,-el-bus,The bus this component is connected to
capacity,float,MW,n/a,,Installed capacity
capacity_cost,float,Eur/MW,n/a,,Annualized costs of capacity expansion
marginal_cost,float,Eur/MWh,0,,Marginal cost
expendable,boolean,n/a,true,,Capacity can be expanded
output_parameters,dict,n/a,{},,Optional parameters passed to oemof-solph's output flow
