attribute,type,unit,default,suffix,description
region,str,n/a,n/a,,Country code
name,str,n/a,,-electricity-bev,Name
type,str,n/a,bev,,Type
carrier,str,n/a,electricity,,Energy carrier
tech,str,n/a,bev,,Technology
bus,str,n/a,,-electricity,The bus this component is connected to
capacity,float,MW,n/a,,Installed capacity
storage_capacity,float,MWh,n/a,,Installed storage capacity
efficiency,float,unitless,n/a,,Efficiency of charging/discharging
availability,str,,,-availability-profile,Ratio of cars with grid contact profile
drive_power,str,,,-drive_power-profile,Drive power profile
min_storage_level,str,,,-min_storage_level-profile,Min charge level profile
max_storage_level,str,,,-max_storage_level-profile,Max charge level profile
marginal_cost,float,Eur/MWh,n/a,,Marginal cost of charging/discharging
input_parameters,dict,n/a,{},,Optional parameters passed to oemof-solph's input flow
output_parameters,dict,n/a,{},,Optional parameters passed to oemof-solph's output flow
