attribute,type,unit,default,suffix,description
region,str,n/a,n/a,,Country code
name,str,n/a,,-gas-extchp,Name
type,str,n/a,extraction,,Type
carrier,str,n/a,gas,,Energy carrier
tech,str,n/a,extchp,,Technology
fuel_bus
electricity_bus,str,n/a,,-electricity,The bus this component is connected to
heat_bus,str,n/a,,-heat,The bus this component is connected to
capacity,float,MW_el,n/a,,Installed electric capacity in full extraction mode
electric_efficiency,,,,,Electrical efficiency of the chp unit in full backpressure mode
thermal_efficiency,,,,Thermal efficiency of the chp unit in full backpressure mode
condensing_efficiency,,,,Electrical efficiency if turbine operates in full extraction mode
carrier_cost,Eur/MWh,,,Cost per unit of used fuel
marginal_cost,float,Eur/MWh_el,n/a,,Marginal cost per unit of produced electrical output
