attribute,type,unit,default,suffix,description
region,str,n/a,n/a,,Country code
name,str,n/a,,-hydro-reservoir,Name
type,str,n/a,reservoir,,Type
carrier,str,n/a,hydro,,Energy carrier
tech,str,n/a,reservoir,,Technology
bus,str,n/a,,-electricity,The bus this component is connected to
capacity,float,MW,n/a,,Installed capacity
storage_capacity,float,MWh,n/a,,Installed storage capacity
efficiency,float,unitless,n/a,,Efficiency of charging/discharging
marginal_cost,float,Eur/MWh,n/a,,Marginal cost of charging/discharging
profile,str,,,-hydro-reservoir-profile,Name of the profile
output_parameters,dict,n/a,{},,Optional parameters passed to oemof-solph's output flow
