attribute,type,unit,default,suffix,description
region,str,n/a,n/a,,Country code
name,str,n/a,,-uranium-nuclear-st,Name
type,str,n/a,dispatchable,,Type
carrier,str,n/a,uranium,,Energy carrier
tech,str,n/a,nuclear,,Technology
bus,str,n/a,,-electricity,The bus this component is connected to
capacity,float,MW,n/a,,Installed capacity
capacity_cost,float,Eur/MW,n/a,,Annualized costs of capacity expansion
marginal_cost,float,Eur/MWh,0,,Marginal cost
expandable,boolean,n/a,true,,Capacity can be expanded
output_parameters,dict,n/a,{},,Optional parameters passed to oemof-solph's output flow
